Timestamp,Milliseconds,X,Y,Z
2019-10-30 21:08:10,1,0.6530618,7.8915963,10.73392
2019-10-30 21:08:10,10,1.6585833,7.7982264,11.217528
2019-10-30 21:08:10,20,1.8979932,7.793438,11.681983
2019-10-30 21:08:10,31,1.3425623,7.192519,12.002792
2019-10-30 21:08:10,40,0.60278577,6.3737373,12.108133
2019-10-30 21:08:10,50,-0.19205505,5.9116764,11.828023
2019-10-30 21:08:10,60,-1.5782382,5.2916045,11.588613
2019-10-30 21:08:10,70,-2.0522697,4.9851604,11.672407
2019-10-30 21:08:10,80,-2.3874435,4.429729,12.179956
2019-10-30 21:08:10,91,-2.203098,3.9556973,12.948461
2019-10-30 21:08:10,100,-1.9565058,3.2566206,13.618809
2019-10-30 21:08:10,110,-1.7625839,2.6580958,14.207757
2019-10-30 21:08:10,120,-1.8415891,2.2103994,14.569266
2019-10-30 21:08:10,130,-2.0067818,1.7698853,14.741641
2019-10-30 21:08:10,140,-2.128881,1.4323174,14.696153
2019-10-30 21:08:10,151,-2.3060443,1.2312131,14.246063
2019-10-30 21:08:10,160,-2.5861537,1.0708084,13.48474
2019-10-30 21:08:10,170,-3.005121,0.6829645,12.634834
2019-10-30 21:08:10,180,-3.5988576,0.39327857,11.210346
2019-10-30 21:08:10,190,-3.8646026,0.45313102,10.405929
2019-10-30 21:08:10,200,-3.9795194,0.6063534,9.718822
2019-10-30 21:08:10,211,-4.04416,0.7930931,9.175362
2019-10-30 21:08:10,220,-4.1279535,1.0037737,8.852158
2019-10-30 21:08:10,230,-4.0106425,1.1641784,8.631901
2019-10-30 21:08:10,240,-3.677863,1.3437357,8.686966
2019-10-30 21:08:10,250,-3.1607375,1.5615987,8.813853
2019-10-30 21:08:10,260,-2.3539264,1.7435502,8.90004
2019-10-30 21:08:10,270,-2.1647925,1.9159254,8.878494
2019-10-30 21:08:10,280,-1.843983,2.2798285,8.694148
2019-10-30 21:08:10,290,-1.5710558,2.636549,8.081259
2019-10-30 21:08:10,300,-1.4968388,2.6724606,7.4707637
2019-10-30 21:08:10,310,-1.4465626,2.7706184,6.7956276
2019-10-30 21:08:10,320,-1.3986807,2.8400474,6.1180973
2019-10-30 21:08:10,331,-1.2861581,2.923841,5.5123906
2019-10-30 21:08:10,340,-1.1951823,3.1584625,4.9689302
2019-10-30 21:08:10,350,-1.0850538,3.3763254,4.6409383
2019-10-30 21:08:10,360,-0.97492534,3.4409661,4.4613814
2019-10-30 21:08:10,370,-0.88873774,3.388296,4.593057
2019-10-30 21:08:10,380,-0.59905183,3.5391243,5.306498
2019-10-30 21:08:10,391,-0.4386472,3.7905047,5.639278
2019-10-30 21:08:10,400,-0.4458295,3.9916089,5.8427763
2019-10-30 21:08:10,410,-0.61820465,3.941333,5.9457226
2019-10-30 21:08:10,420,-0.8552204,3.9437268,5.92657
2019-10-30 21:08:10,430,-1.113783,3.9892151,5.668007
2019-10-30 21:08:10,440,-1.3100991,4.0682206,5.6273074
2019-10-30 21:08:10,450,-0.3069718,4.8199673,5.1389112
2019-10-30 21:08:10,461,-2.054664,3.4481485,5.902629
2019-10-30 21:08:10,470,-2.9189336,3.7593815,5.713495
2019-10-30 21:08:10,480,-1.089842,3.263803,5.4166265
2019-10-30 21:08:10,490,-2.176763,4.68111,5.883476
2019-10-30 21:08:10,500,-2.8973866,4.9516425,5.8236237
2019-10-30 21:08:10,511,-3.0673678,5.128806,5.761377
2019-10-30 21:08:10,520,-2.1863394,4.9372783,5.9744515
2019-10-30 21:08:10,530,-2.5909421,5.1719,6.711834
2019-10-30 21:08:10,540,-2.5717893,5.705784,7.262477
2019-10-30 21:08:10,550,-2.5837598,6.0098343,7.631168
2019-10-30 21:08:10,560,-2.6364298,6.1654506,7.975919
2019-10-30 21:08:10,571,-2.6053066,6.0289874,8.172235
2019-10-30 21:08:10,580,-1.8703182,5.5549555,8.833006
2019-10-30 21:08:10,590,-2.102546,5.684237,9.376466
2019-10-30 21:08:10,600,-1.6859726,5.3777924,9.261549
2019-10-30 21:08:10,610,-1.1329358,4.918125,8.964681
2019-10-30 21:08:10,620,-1.1544827,4.7050505,9.223244
2019-10-30 21:08:10,631,-0.5080761,4.2477775,8.495438
2019-10-30 21:08:10,641,-0.4697705,4.9516425,9.280702
2019-10-30 21:08:10,650,-1.0563247,5.322728,9.589541
2019-10-30 21:08:10,660,-1.6548493,5.6339607,9.426742
2019-10-30 21:08:10,671,-2.8231695,4.903761,8.991016
2019-10-30 21:08:10,680,-3.6682866,5.1862645,10.470569
2019-10-30 21:08:10,691,-3.2421367,6.0672927,11.006847
2019-10-30 21:08:10,700,-2.3323793,5.4424334,10.822502
2019-10-30 21:08:11,710,-0.60384,5.4879208,10.489722
2019-10-30 21:08:11,720,0.1359365,5.406522,10.370017
2019-10-30 21:08:11,730,0.5022336,5.667478,10.386776
2019-10-30 21:08:11,741,0.40886375,5.760848,10.68125
2019-10-30 21:08:11,751,0.19578895,5.660296,11.303716
2019-10-30 21:08:11,760,0.22691226,5.2149935,11.98364
2019-10-30 21:08:11,770,0.535751,4.511129,12.546253
2019-10-30 21:08:11,780,0.93077725,3.8359923,13.441646
2019-10-30 21:08:11,790,1.3258036,3.5127892,14.576449
2019-10-30 21:08:11,801,1.5149374,3.4673011,14.933169
2019-10-30 21:08:11,810,2.039245,3.7545931,14.880499
2019-10-30 21:08:11,820,2.2499256,3.6660113,13.906101
2019-10-30 21:08:11,830,2.3385072,3.3260496,12.637229
2019-10-30 21:08:11,841,2.2211964,3.0794573,11.114582
2019-10-30 21:08:11,850,2.0416389,3.0124226,9.85768
2019-10-30 21:08:11,860,1.8884168,3.069881,8.811459
2019-10-30 21:08:11,870,3.5858326,3.2590146,7.1810775
2019-10-30 21:08:11,880,2.1230385,3.048334,7.0110965
2019-10-30 21:08:11,890,-0.33330688,2.6700664,6.4006014
2019-10-30 21:08:11,900,-1.2813699,3.9724562,6.0941563
2019-10-30 21:08:11,910,-0.97253126,4.549434,5.373533
2019-10-30 21:08:11,921,-0.967743,4.3387537,5.055118
2019-10-30 21:08:11,930,-0.91507286,3.9724562,4.964142
2019-10-30 21:08:11,940,-0.6325692,3.800081,4.6624856
2019-10-30 21:08:11,950,-0.7283331,3.385902,5.3615623
2019-10-30 21:08:11,961,-0.22078422,3.9724562,5.6727953
2019-10-30 21:08:11,970,0.06890174,4.286083,5.5602727
2019-10-30 21:08:11,981,0.25564143,4.424941,5.280163
2019-10-30 21:08:11,990,0.22451815,4.4752173,5.112576
2019-10-30 21:08:11,1000,-0.050803207,4.4704285,5.1173644
2019-10-30 21:08:11,1010,-0.33809507,4.130467,5.1221523
2019-10-30 21:08:11,1020,-0.31654817,3.7641695,4.818102
2019-10-30 21:08:11,1031,-0.81212664,3.4649072,4.7582493
2019-10-30 21:08:11,1040,-1.3148873,3.239862,5.0622997
2019-10-30 21:08:11,1050,-1.5854205,3.3763254,5.5794253
2019-10-30 21:08:11,1060,-1.0611129,3.9796383,5.306498
2019-10-30 21:08:11,1070,-1.9972055,2.4689622,4.62418
2019-10-30 21:08:11,1081,-1.9924172,2.1936407,2.9890106
2019-10-30 21:08:11,1090,-1.2550348,5.198235,4.085508
2019-10-30 21:08:11,1100,-0.54877573,6.256427,4.8827424
2019-10-30 21:08:11,1110,-0.38837114,5.104865,5.4836617
2019-10-30 21:08:11,1121,-0.42428264,4.5422516,5.495632
2019-10-30 21:08:11,1131,-0.60623413,4.717021,6.513124
2019-10-30 21:08:11,1140,-0.9988663,5.5884733,7.7365084
2019-10-30 21:08:11,1150,-1.6524552,5.916465,8.572049
2019-10-30 21:08:11,1160,-1.9397471,5.234146,8.78273
2019-10-30 21:08:11,1171,-1.1281476,5.210205,9.029322
2019-10-30 21:08:11,1180,0.2987352,5.5262265,11.521579
2019-10-30 21:08:11,1190,0.7177025,5.5405912,10.9493885
2019-10-30 21:08:11,1200,0.94753593,5.51665,12.436124
2019-10-30 21:08:11,1211,0.875713,5.298787,11.521579
2019-10-30 21:08:11,1220,-0.0077094324,5.203023,11.787323
2019-10-30 21:08:11,1230,-0.13938487,5.303575,11.588613
2019-10-30 21:08:11,1240,0.5429332,4.9324903,11.471302
2019-10-30 21:08:11,1250,1.0935761,4.6140747,11.993216
2019-10-30 21:08:11,1261,0.87092483,4.6547747,12.740175
2019-10-30 21:08:11,1270,0.5501156,4.7553267,12.95325
2019-10-30 21:08:11,1280,0.78234315,5.112047,13.511075
2019-10-30 21:08:11,1290,0.9116245,5.035436,14.085658
2019-10-30 21:08:11,1301,0.8972599,4.6835036,14.212546
2019-10-30 21:08:11,1310,0.8302251,4.0777965,14.224516
2019-10-30 21:08:11,1320,0.8828953,2.8879294,14.2604265
2019-10-30 21:08:11,1330,1.2467983,2.7969537,14.760794
2019-10-30 21:08:11,1340,2.45103,2.875959,14.70573
2019-10-30 21:08:11,1351,3.253053,3.5894005,15.68731
2019-10-30 21:08:11,1360,3.6361086,4.2812953,15.646611
2019-10-30 21:08:11,1370,4.129293,3.8503573,15.332984
2019-10-30 21:08:11,1380,4.328004,3.4481485,14.447167
2019-10-30 21:08:11,1390,3.9617064,3.4266016,12.098556
2019-10-30 21:08:11,1400,3.6385028,3.39069,11.13134
2019-10-30 21:08:11,1410,2.187679,3.3332317,8.167446
2019-10-30 21:08:11,1420,1.141458,3.1010041,6.9105444
2019-10-30 21:08:11,1430,0.24367094,2.4857206,6.371872
2019-10-30 21:08:11,1440,-0.6325692,1.6477863,7.173895
2019-10-30 21:08:11,1450,-1.0347778,0.912798,7.578498
2019-10-30 21:08:11,1460,-1.2310938,-0.18130513,7.092496
2019-10-30 21:08:11,1470,-0.37640062,1.2168485,8.706118
2019-10-30 21:08:11,1481,0.7344612,1.4203469,7.149954
2019-10-30 21:08:11,1490,1.0002062,1.2240309,6.47003
2019-10-30 21:08:11,1500,1.1606108,2.0164773,6.8794208
2019-10-30 21:08:11,1510,0.36337587,1.30543,7.4228816
2019-10-30 21:08:11,1520,-0.36443016,0.3166674,8.090835
2019-10-30 21:08:11,1531,-0.36682427,0.3908845,8.071682
2019-10-30 21:08:11,1540,-0.36443016,1.4323174,8.246451
2019-10-30 21:08:11,1550,0.06171944,2.6557019,7.9208536
2019-10-30 21:08:11,1560,0.62672675,3.5199714,7.410911
2019-10-30 21:08:11,1570,0.7943136,3.7545931,6.8794208
2019-10-30 21:08:11,1582,0.44238114,3.3045027,6.6519814
2019-10-30 21:08:11,1590,0.06171944,3.1105807,6.2306204
2019-10-30 21:08:11,1601,-0.09150289,3.1752212,5.766165
2019-10-30 21:08:11,1610,-0.21599603,3.8838744,5.3376217
